conflict_cost,tech_spill,resource,final_gdp,final_gini,final_extinctions
0.01,0.0,500,2770787320568.09,0.080,0
0.01,0.0,1000,4043664661478.88,0.193,0
0.01,0.0,2000,4412778908864.31,0.130,0
0.01,0.0,5000,4736936521248.26,0.189,0
0.01,0.0,10000,7356473950686.64,0.114,0
0.01,0.05,500,2694881846713.64,0.124,0
0.01,0.05,1000,3739453017785.98,0.101,0
0.01,0.05,2000,4100685359721.30,0.115,0
0.01,0.05,5000,6396122784971.77,0.103,0
0.01,0.05,10000,7829433728713.31,0.131,0
0.01,0.1,500,3007085674413.88,0.120,0
0.01,0.1,1000,3402655961735.22,0.125,0
0.01,0.1,2000,3968913254950.54,0.133,0
0.01,0.1,5000,6279518994894.34,0.121,0
0.01,0.1,10000,6131480614965.53,0.109,0
0.01,0.2,500,3105539847568.73,0.114,0
0.01,0.2,1000,3372475921813.81,0.117,0
0.01,0.2,2000,4614883000767.92,0.134,0
0.01,0.2,5000,5431246196604.04,0.124,0
0.01,0.2,10000,8700150217513.92,0.112,0
0.01,0.3,500,3216944630431.57,0.133,0
0.01,0.3,1000,3426813640949.84,0.111,0
0.01,0.3,2000,4451174640276.58,0.123,0
0.01,0.3,5000,5707583269186.47,0.105,0
0.01,0.3,10000,6094047832866.71,0.114,0
0.05,0.0,500,926782686266.98,0.231,0
0.05,0.0,1000,1023690522350.70,0.141,0
0.05,0.0,2000,1409500974543.97,0.198,0
0.05,0.0,5000,1636264259333.39,0.188,0
0.05,0.0,10000,1877842616137.04,0.184,0
0.05,0.05,500,848156791504.73,0.186,0
0.05,0.05,1000,1130990695213.69,0.139,0
0.05,0.05,2000,1407645235691.29,0.132,0
0.05,0.05,5000,1985178713346.19,0.166,0
0.05,0.05,10000,2178011187865.37,0.146,0
0.05,0.1,500,924873553436.56,0.168,0
0.05,0.1,1000,1122672793546.91,0.131,0
0.05,0.1,2000,1237321629489.86,0.141,0
0.05,0.1,5000,1691613827632.24,0.146,0
0.05,0.1,10000,2029978475968.91,0.164,0
0.05,0.2,500,935966409084.69,0.170,0
0.05,0.2,1000,1146649832729.36,0.178,0
0.05,0.2,2000,1206260953677.02,0.167,0
0.05,0.2,5000,1892743829416.44,0.141,0
0.05,0.2,10000,2331552384894.29,0.150,0
0.05,0.3,500,858673634464.11,0.174,0
0.05,0.3,1000,1159974672747.60,0.132,0
